page_title,gt_lat,gt_lon,gt_type,cl_to,type
El_Garces_Hotel,34.8408,-114.606,landmark,U.S._Route_66_in_California,Attraction
Figueroa_Street,34.0497,-118.259,landmark,U.S._Route_66_in_California,Other
Historic_and_Architectural_Resources_of_Route_66_Through_Illinois,41.0942,-88.4406,,U.S._Route_66_in_Illinois,Attraction
"Maid-Rite_Sandwich_Shop_(Springfield,_Illinois)",39.8017,-89.6583,landmark,U.S._Route_66_in_Illinois,Attraction
Lou_Mitchell's,41.8772,-87.6417,landmark,U.S._Route_66_in_Illinois,Attraction
Cozy_Dog_Drive_In,39.7624,-89.6488,landmark,U.S._Route_66_in_Illinois,Attraction
Berwyn_Route_66_Museum,41.8255,-87.7976,landmark,U.S._Route_66_in_Illinois,Attraction
Dell_Rhea's_Chicken_Basket,41.7475,-87.9394,landmark,U.S._Route_66_in_Illinois,Attraction
White_Fence_Farm,41.6739,-88.0576,landmark,U.S._Route_66_in_Illinois,Attraction
"Riverton,_Kansas",37.075,-94.7047,city,U.S._Route_66_in_Kansas,Town
Route_66_State_Park,38.5064,-90.5903,landmark,U.S._Route_66_in_Missouri,Attraction
"Central_Avenue_(Albuquerque,_New_Mexico)",35.0833,-106.642,,U.S._Route_66_in_New_Mexico,Other
Maisel's_Indian_Trading_Post,35.0844,-106.653,landmark,U.S._Route_66_in_New_Mexico,Attraction
Aztec_Motel,35.0796,-106.601,,U.S._Route_66_in_New_Mexico,Attraction
El_Rancho_Hotel_&_Motel,35.5295,-108.722,landmark,U.S._Route_66_in_New_Mexico,Attraction
Richardson_Store,35.0954,-104.065,landmark,U.S._Route_66_in_New_Mexico,Attraction
Blue_Whale_of_Catoosa,36.1937,-95.7331,landmark,U.S._Route_66_in_Oklahoma,Attraction
Ed_Galloway's_Totem_Pole_Park,36.4372,-95.4481,landmark,U.S._Route_66_in_Oklahoma,Attraction
Fort_Reno_(Oklahoma),35.5617,-98.035,landmark,U.S._Route_66_in_Oklahoma,Building
Gold_Dome,35.4928,-97.5308,landmark,U.S._Route_66_in_Oklahoma,Building
Sayre_City_Park,35.2744,-99.6453,landmark,U.S._Route_66_in_Oklahoma,Attraction
U-Drop_Inn,35.2268,-100.249,landmark,U.S._Route_66_in_Texas,Attraction
The_Big_Texan_Steak_Ranch,35.1941,-101.754,landmark,U.S._Route_66_in_Texas,Attraction
Cadillac_Ranch,35.1872,-101.987,,U.S._Route_66_in_Texas,Attraction
Meramec_Caverns,38.2413,-91.0924,landmark,Visitor_attractions_along_U.S._Route_66,Attraction
Petrified_Forest_National_Park,35.0881,-109.806,landmark,Visitor_attractions_along_U.S._Route_66,Attraction
Painted_Desert_(Arizona),35.5003,-110.084,landmark,Visitor_attractions_along_U.S._Route_66,Attraction
Delgadillo's_Snow_Cap_Drive-In,35.3261,-112.873,landmark,Visitor_attractions_along_U.S._Route_66,Attraction
California_Route_66_Museum,34.5372,-117.294,landmark,Visitor_attractions_along_U.S._Route_66,Attraction
"Harvey_House_(Barstow,_California)",34.9047,-117.025,railwaystation,Visitor_attractions_along_U.S._Route_66,Attraction
Amboy_Crater,34.5439,-115.791,mountain,Visitor_attractions_along_U.S._Route_66,Attraction
Topock_Gorge,34.6653,-114.449,waterbody,Visitor_attractions_along_U.S._Route_66,Attraction
Grant_Park_(Chicago),41.876,-87.6189,landmark,Visitor_attractions_along_U.S._Route_66,Attraction
Chicken_Boy,34.1085,-118.194,landmark,Visitor_attractions_along_U.S._Route_66,Attraction
Meteor_Crater,35.0272,-111.022,landmark,Visitor_attractions_along_U.S._Route_66,Attraction
Art_Institute_of_Chicago,41.8794,-87.6239,,Visitor_attractions_along_U.S._Route_66,Attraction
